mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,added_at
0.5558,0.1785,0.7475,0.455,0.66,2025-02-06 05:34
0.5618,0.1692,0.7403,0.4458,0.6723,2025-02-06 09:56
0.551,0.1708,0.7477,0.4466,0.6788,2025-02-07 02:34
0.5489,0.1751,0.7616,0.4526,0.6735,2025-02-08 20:03
0.5473,0.1749,0.7607,0.447,0.6685,2025-02-11 10:13
0.54,0.1751,0.76,0.4436,0.6734,2025-02-14 02:53
0.5294,0.1725,0.7585,0.4358,0.6812,2025-02-14 08:58
0.5181,0.1596,0.7513,0.4202,0.6997,2025-02-15 22:00
0.5142,0.1552,0.7465,0.4122,0.7042,2025-02-15 22:48
0.5078,0.1635,0.7567,0.4265,0.6981,2025-02-16 01:43
0.5086,0.1655,0.7667,0.434,0.6995,2025-02-16 01:45
0.4906,0.1604,0.7602,0.4133,0.7007,2025-02-17 01:42
0.4825,0.1806,0.7637,0.4317,0.6794,2025-02-20 03:02
0.4777,0.1921,0.7664,0.4368,0.6508,2025-02-21 15:05
0.4867,0.1919,0.7694,0.439,0.6445,2025-02-25 09:42
0.4936,0.2065,0.7759,0.4461,0.637,2025-02-26 16:16
0.4791,0.2174,0.7819,0.4513,0.6146,2025-02-26 16:17
0.4754,0.2192,0.791,0.4508,0.6149,2025-03-05 23:31
0.481,0.2253,0.7978,0.463,0.6043,2025-03-06 13:32
0.4848,0.2216,0.8018,0.4574,0.6099,2025-03-06 19:54
0.4848,0.2205,0.8031,0.4538,0.603,2025-03-06 19:57
0.4876,0.2097,0.7832,0.4372,0.6158,2025-03-06 21:43
0.4966,0.2228,0.7857,0.4462,0.5983,2025-03-12 04:17
0.5102,0.2231,0.7786,0.4499,0.5985,2025-03-15 20:16
0.4995,0.2195,0.7769,0.4402,0.6123,2025-03-15 20:17
0.5076,0.2213,0.7778,0.4441,0.6118,2025-03-15 20:29
0.5098,0.2211,0.7618,0.4422,0.6093,2025-03-15 20:29
0.5199,0.2226,0.755,0.4409,0.6102,2025-03-17 21:38
0.5206,0.2441,0.7781,0.4589,0.5881,2025-03-18 06:59
0.5175,0.2372,0.7735,0.436,0.6097,2025-03-19 00:13
0.533,0.2451,0.7704,0.4404,0.6074,2025-03-19 03:24
0.522,0.2452,0.7694,0.4329,0.6056,2025-03-21 21:16
0.5194,0.24,0.7583,0.4242,0.6135,2025-03-21 22:50
0.5116,0.2347,0.7558,0.4151,0.6236,2025-03-25 14:47
0.5224,0.2337,0.7573,0.4199,0.6217,2025-03-27 04:55
0.5398,0.2603,0.7705,0.446,0.5914,2025-03-28 13:23
0.5564,0.2821,0.7715,0.4617,0.566,2025-03-30 20:41
0.5828,0.2984,0.7804,0.4876,0.5366,2025-03-30 21:07
0.5912,0.327,0.7901,0.5105,0.5102,2025-03-30 21:13
0.6098,0.3429,0.7906,0.52,0.4903,2025-03-30 21:17
0.6246,0.3679,0.806,0.5401,0.4682,2025-03-30 22:39
0.646,0.3804,0.8116,0.5645,0.4471,2025-03-30 22:39
0.6662,0.3737,0.808,0.5624,0.4427,2025-03-30 22:43
0.6864,0.386,0.8082,0.5745,0.4421,2025-03-31 00:35
0.677,0.3846,0.8079,0.5638,0.4568,2025-04-02 15:48
0.6832,0.3723,0.8007,0.5645,0.4572,2025-04-03 13:55
0.7029,0.3614,0.7845,0.5619,0.4825,2025-04-03 20:45
0.711,0.3582,0.785,0.5619,0.4866,2025-04-03 20:45
0.7234,0.377,0.7858,0.5689,0.4768,2025-04-04 03:00
0.7276,0.3754,0.7835,0.5662,0.4818,2025-04-07 08:11
0.7345,0.383,0.783,0.58,0.4682,2025-04-08 14:24
0.7282,0.3866,0.8044,0.5931,0.4697,2025-04-09 08:01
0.706,0.3745,0.803,0.5727,0.4963,2025-04-12 02:57
0.7003,0.3761,0.8035,0.5733,0.4912,2025-04-13 06:04
0.7074,0.3774,0.8006,0.5783,0.4885,2025-04-13 08:48
0.6972,0.3716,0.7893,0.5669,0.4965,2025-04-13 09:48
0.684,0.3814,0.8118,0.5708,0.4879,2025-04-13 10:50
0.6823,0.3782,0.8041,0.5687,0.4904,2025-04-13 22:33
0.6733,0.3558,0.7984,0.5443,0.5221,2025-04-14 20:50
0.6853,0.3682,0.8036,0.5681,0.4969,2025-04-15 19:20
0.6695,0.3683,0.8086,0.5678,0.5075,2025-04-15 21:58
0.681,0.3667,0.7983,0.5665,0.511,2025-04-17 17:07
0.6836,0.3694,0.8054,0.5735,0.5051,2025-04-23 22:47
0.6866,0.3732,0.8073,0.58,0.5002,2025-04-28 02:07
0.6876,0.3815,0.8118,0.5874,0.496,2025-04-28 17:53
0.6666,0.3539,0.7983,0.5574,0.527,2025-05-04 16:54
0.6539,0.335,0.7977,0.5465,0.5493,2025-05-05 08:12
0.6339,0.3221,0.7976,0.5311,0.5737,2025-05-06 00:08
0.6088,0.2927,0.7938,0.5075,0.6055,2025-05-06 00:14
0.5957,0.2705,0.7871,0.4931,0.628,2025-05-08 04:46
0.577,0.2443,0.7783,0.4701,0.6547,2025-05-09 16:08
0.5513,0.233,0.7794,0.446,0.6831,2025-05-12 07:48
0.5476,0.2205,0.7767,0.4358,0.7076,2025-05-12 19:42
0.5437,0.1967,0.7759,0.4222,0.725,2025-05-13 03:39
0.5495,0.197,0.7546,0.4214,0.7042,2025-05-13 20:24
0.5451,0.1927,0.7584,0.4129,0.7078,2025-05-13 20:36
0.5363,0.1921,0.7597,0.4102,0.7057,2025-05-14 20:37
0.5438,0.2167,0.7648,0.4316,0.6766,2025-05-14 22:56
0.541,0.188,0.7445,0.4115,0.7047,2025-05-16 16:39
0.5332,0.1899,0.7519,0.4128,0.7028,2025-05-18 05:32
0.531,0.1823,0.7277,0.3941,0.7048,2025-05-18 06:56
0.5265,0.1797,0.7201,0.3812,0.7107,2025-05-19 18:05
0.5362,0.1816,0.7154,0.3867,0.7055,2025-05-19 20:35
0.5291,0.184,0.7326,0.3866,0.7074,2025-05-21 18:53
0.5173,0.1897,0.7434,0.3964,0.701,2025-05-21 19:30
0.522,0.1927,0.763,0.4049,0.6894,2025-05-22 02:57
0.5312,0.1964,0.7672,0.4234,0.6724,2025-05-24 02:52
0.5308,0.1986,0.7813,0.4238,0.6687,2025-05-24 21:08
0.5466,0.2261,0.7869,0.4511,0.6366,2025-05-25 03:12
0.5487,0.2407,0.787,0.4555,0.6313,2025-05-25 03:12
0.5539,0.2342,0.7865,0.4611,0.6238,2025-05-26 05:33
0.5496,0.2409,0.8003,0.4744,0.6114,2025-05-26 08:14
0.5511,0.2416,0.8005,0.4708,0.6132,2025-05-26 08:14
0.5524,0.2389,0.806,0.473,0.6168,2025-05-26 09:15
0.5594,0.2533,0.8082,0.4825,0.6016,2025-05-26 18:52
0.5676,0.2663,0.8215,0.5089,0.5737,2025-05-26 18:56
0.5706,0.2607,0.8044,0.5009,0.5745,2025-05-26 19:16
0.5704,0.2576,0.7934,0.4947,0.5768,2025-05-27 03:02
0.5735,0.2586,0.7877,0.497,0.576,2025-05-27 03:56
0.5669,0.2625,0.7926,0.4972,0.5594,2025-05-27 03:56
0.5786,0.2699,0.8005,0.5133,0.5423,2025-05-28 20:46
0.6046,0.2927,0.8004,0.5377,0.5133,2025-05-30 03:26
0.5936,0.2935,0.8003,0.5333,0.5148,2025-05-30 14:24
0.5746,0.3032,0.8015,0.5403,0.5167,2025-05-31 20:34
0.5792,0.302,0.8094,0.5421,0.536,2025-05-31 20:38
0.5718,0.3106,0.8126,0.5501,0.5284,2025-05-31 20:48
0.5694,0.3191,0.8274,0.5694,0.5101,2025-05-31 20:54
0.5451,0.3103,0.828,0.5648,0.519,2025-05-31 21:51
0.5272,0.3229,0.8483,0.58,0.4995,2025-05-31 21:58
